GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assure,com.increff.assure.pojo,BinPojo,0,10,0,0,0,4,0,3,0,3
assure,com.increff.assure.pojo,BinSkuPojo,0,31,0,0,0,13,0,9,0,9
assure,com.increff.assure.pojo,EmployeePojo,14,10,0,0,6,4,4,3,4,3
assure,com.increff.assure.pojo,UserPojo,28,3,0,0,12,1,8,1,8,1
assure,com.increff.assure.pojo,ClientPojo,0,24,0,0,0,10,0,7,0,7
assure,com.increff.assure.pojo,AbstractAuditable,14,3,0,0,6,1,4,1,4,1
assure,com.increff.assure.pojo,ProductPojo,0,52,0,0,0,22,0,15,0,15
assure,com.increff.assure.pojo,ClientType,0,24,0,0,0,2,0,1,0,1
assure,com.increff.assure.dao,BinDao,0,37,0,0,0,10,0,5,0,5
assure,com.increff.assure.dao,UserDao,59,12,0,0,14,5,6,2,6,2
assure,com.increff.assure.dao,EmployeeDao,39,15,0,0,9,6,4,3,4,3
assure,com.increff.assure.dao,ClientDao,0,37,0,0,0,10,0,5,0,5
assure,com.increff.assure.dao,BinSkuDao,0,59,0,0,0,15,0,6,0,6
assure,com.increff.assure.dao,AbstractDao,0,19,0,0,0,4,0,4,0,4
assure,com.increff.assure.dao,ProductDao,0,59,0,0,0,15,0,6,0,6
assure,com.increff.assure.dao,EmployeeInMemDao,53,9,0,0,12,3,5,2,5,2
assure,com.increff.assure.dto,ClientDto,0,29,0,0,0,8,0,4,0,4
assure,com.increff.assure.dto,BinSkuDto,0,57,0,0,0,13,0,5,0,5
assure,com.increff.assure.dto,ProductDto,0,52,0,0,0,13,0,5,0,5
assure,com.increff.assure.dto,BinDto,0,25,0,0,0,7,0,4,0,4
assure,com.increff.assure.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
assure,com.increff.assure.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
assure,com.increff.assure.spring,DbConfig,0,108,0,0,0,28,0,4,0,4
assure,com.increff.assure.spring,ControllerConfig,4,112,0,0,2,25,1,7,1,7
assure,com.increff.assure.service,BinSkuService,13,76,1,1,1,18,1,5,0,5
assure,com.increff.assure.service,AbstractService,28,17,6,4,7,9,6,5,1,5
assure,com.increff.assure.service,EmployeeService,59,20,3,1,15,7,7,3,5,3
assure,com.increff.assure.service,ProductService,5,154,2,2,1,35,2,6,0,6
assure,com.increff.assure.service,UserService,48,3,2,0,13,1,6,1,5,1
assure,com.increff.assure.service,ClientService,0,29,0,0,0,8,0,4,0,4
assure,com.increff.assure.service,BinService,0,28,0,0,0,8,0,4,0,4
assure,com.increff.assure.service,AboutAppService,0,9,0,0,0,3,0,3,0,3
assure,com.increff.assure.service,ApiException,4,0,0,0,2,0,1,0,1,0
assure,com.increff.assure.controller,ProductController,25,3,0,0,6,1,4,1,4,1
assure,com.increff.assure.controller,ClientController,17,3,0,0,4,1,3,1,3,1
assure,com.increff.assure.controller,AdminApiController,75,3,2,0,21,1,6,1,5,1
assure,com.increff.assure.controller,SiteUiController,20,3,0,0,5,1,5,1,5,1
assure,com.increff.assure.controller,AppRestControllerAdvice,27,3,0,0,6,1,2,1,2,1
assure,com.increff.assure.controller,AppUiController,12,3,0,0,3,1,3,1,3,1
assure,com.increff.assure.controller,AboutApiController,16,3,0,0,4,1,1,1,1,1
assure,com.increff.assure.controller,InitApiController,56,3,2,0,15,1,4,1,3,1
assure,com.increff.assure.controller,EmployeeApiController,88,3,2,0,25,1,8,1,7,1
assure,com.increff.assure.controller,AbstractUiController,19,3,0,0,4,1,1,1,1,1
assure,com.increff.assure.controller,SampleController,43,3,0,0,11,1,1,1,1,1
assure,com.increff.assure.model,UserData,24,0,0,0,10,0,7,0,7,0
assure,com.increff.assure.model,ClientForm,0,17,0,0,0,7,0,5,0,5
assure,com.increff.assure.model,ProductForm,0,45,0,0,0,19,0,13,0,13
assure,com.increff.assure.model,EmployeeData,10,0,0,0,4,0,3,0,3,0
assure,com.increff.assure.model,UserForm,24,0,0,0,10,0,7,0,7,0
assure,com.increff.assure.model,BinSkuData,6,18,0,0,2,8,2,5,2,5
assure,com.increff.assure.model,ClientData,3,7,0,0,1,3,1,2,1,2
assure,com.increff.assure.model,BinSkuForm,0,31,0,0,0,13,0,9,0,9
assure,com.increff.assure.model,LoginForm,17,0,0,0,7,0,5,0,5,0
assure,com.increff.assure.model,MessageData,10,0,0,0,4,0,3,0,3,0
assure,com.increff.assure.model,ProductData,0,10,0,0,0,4,0,3,0,3
assure,com.increff.assure.model,EmployeeForm,17,0,0,0,7,0,5,0,5,0
assure,com.increff.assure.model,AboutAppData,17,0,0,0,7,0,5,0,5,0
assure,com.increff.assure.model,InfoData,23,0,0,0,10,0,5,0,5,0
assure,com.increff.assure.model,BinData,0,10,0,0,0,4,0,3,0,3
assure,com.increff.assure.util,ConvertorUtil,3,250,0,8,1,63,1,15,1,11
assure,com.increff.assure.util,CookieUtil,36,0,6,0,8,0,5,0,2,0
assure,com.increff.assure.util,IOUtil,11,0,2,0,7,0,3,0,2,0
assure,com.increff.assure.util,UserPrincipal,17,0,0,0,7,0,5,0,5,0
assure,com.increff.assure.util,StringUtil,7,14,3,3,1,2,4,2,1,2
